,CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
5080469,"Congo, Rep.",COG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.5380983785504739
5081327,Costa Rica,CRI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.7049744950915
5082333,Cote d'Ivoire,CIV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.312877702632263
5083206,Croatia,HRV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.80153001129275
5083975,Cuba,CUB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.1723150914420097
5084627,Cyprus,CYP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.73537582255401
5085375,Czech Republic,CZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,10.4310881349318
5086148,Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.24832871740999
5086836,Djibouti,DJI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.561940931477949
5087492,Dominica,DMA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.74614156466205
5088277,Dominican Republic,DOM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.18290788799199
5089323,Ecuador,ECU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.35401738651458
5090312,"Egypt, Arab Rep.",EGY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.63511522475978
5091308,El Salvador,SLV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.10399857445029
5092256,Equatorial Guinea,GNQ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,8.9072415363595
5092715,Eritrea,ERI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.108718364579018
5093401,Estonia,EST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,14.0498825181421
5094180,Ethiopia,ETH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.0839431166461619
5095086,Faeroe Islands,FRO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,11.7212117462674
5095339,Fiji,FJI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.42481324805984
5096107,Finland,FIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,10.1640460986379
5096858,France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.18504342392799
5097531,French Polynesia,PYF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.16795268439279
5097791,Gabon,GAB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.41816574927503
5098505,"Gambia, The",GMB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.2410984169563869
5099383,Georgia,GEO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.769150523604
5100371,Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,8.91783284592949
5101116,Ghana,GHA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.404379797695834
5102044,Greece,GRC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.55605776856022
5102700,Greenland,GRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,12.440341008964698
5102873,Grenada,GRD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.4081374321880697
5103721,Guatemala,GTM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.748055056454528
5104732,Guinea,GIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.2294234245650389
5105580,Guinea-Bissau,GNB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.146810683420286
5106295,Guyana,GUY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.35772202840916
5107103,Haiti,HTI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.217962047888149
5107908,Honduras,HND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.1037450530833302
5108858,"Hong Kong SAR, China",HKG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.69526853894451
5109536,Hungary,HUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.862989931433139
5110307,Iceland,ISL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.89682897929244
5111048,India,IND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.6628734828669098
5111995,Indonesia,IDN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.303780982809509
5112901,"Iran, Islamic Rep.",IRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.80214509349436
5113723,Iraq,IRQ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.20163513007514
5114295,Ireland,IRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.8807593262882305
5115071,Israel,ISR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,8.95241353112365
5115753,Italy,ITA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.70255761383033
5116527,Jamaica,JAM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.8726556926748903
5117461,Japan,JPN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,9.29183430343302
5118178,Jordan,JOR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.60114706358194
5119146,Kazakhstan,KAZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,15.8100975441818
5120117,Kenya,KEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.327569171129451
5120948,Kiribati,KIR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.5956220978005389
5121332,"Korea, Dem. Rep.",PRK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.98718211203856
5121618,"Korea, Rep.",KOR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,11.840756866690302
5122885,Kuwait,KWT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,28.1026617530789
5123514,Kyrgyz Republic,KGZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.19959162949262
5124528,Lao PDR,LAO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.1889105058671329
5125404,Latvia,LVA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.786801436513601
5126180,Lebanon,LBN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.6683125079609
5127102,Lesotho,LSO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.08226960820483
5127920,Liberia,LBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.2184250120233139
5128701,Libya,LBY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.204914344123349
5129065,Liechtenstein,LIE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.4050962038481498
5129301,Lithuania,LTU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.53755851412512
5130057,Luxembourg,LUX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,20.8978116975694
5130741,"Macao SAR, China",MAC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.13306090195031
5131375,"Macedonia, FYR",MKD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.51921014111123
5132333,Madagascar,MDG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.1129928053896909
5133239,Malawi,MWI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.0792314846186132
5134133,Malaysia,MYS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.898823573468209
5135081,Maldives,MDV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.92776392572944
5135817,Mali,MLI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.0799563786058226
5136702,Malta,MLT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.03432163894414
5137320,Marshall Islands,MHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.95420719057498
5137687,Mauritania,MRT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.6272254637992131
5138478,Mauritius,MUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.1270708174039705
5139492,Mexico,MEX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.87610761080744
5140400,"Micronesia, Fed. Sts.",FSM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.24033592330589
5140791,Moldova,MDA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.39882179311941
5141936,Mongolia,MNG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.9151465310462905
5142924,Montenegro,MNE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.14554758345308
5143866,Morocco,MAR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.73791554669125
5144865,Mozambique,MOZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.131189805492051
5145790,Myanmar,MMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.2002852121396219
5146379,Namibia,NAM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.23916048891129
5147073,Nepal,NPL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.159474454709674
5148037,Netherlands,NLD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,10.0644897398765
5148697,New Caledonia,NCL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,15.1732952755906
5148944,New Zealand,NZL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.124050866788321
5149611,Nicaragua,NIC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.8435419549649459
5150462,Niger,NER,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.0839581777578064
5151344,Nigeria,NGA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.537497560078966
5152252,Norway,NOR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,9.19287906857298
5152998,Oman,OMN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,20.2038945134942
